date,case,DLRt,DLAccases,Accase,DLdaily
2020/02/24 12:00:00+00,0,6.7827296,4.0,4,0.0
2020/02/25 12:00:00+00,0,7.324588,4.6147804,4,0.6147804260253906
2020/02/26 12:00:00+00,1,6.2332087,5.5319242,5,0.9171438217163086
2020/02/27 12:00:00+00,1,4.9791226,6.8964567,6,1.364532470703125
2020/02/28 12:00:00+00,2,3.970476,8.662522,8,1.7660655975341797
2020/02/29 12:00:00+00,3,3.2557588,10.584466,11,1.9219436645507812
2020/03/01 12:00:00+00,4,2.7862616,12.604983,15,2.020517349243164
2020/03/02 12:00:00+00,0,2.5024886,14.725564,15,2.1205806732177734
2020/03/03 12:00:00+00,5,2.3538513,16.99455,20,2.268986701965332
2020/03/04 12:00:00+00,0,2.3005667,19.490105,20,2.495553970336914
2020/03/05 12:00:00+00,2,2.312314,22.31214,22,2.8220348358154297
2020/03/06 12:00:00+00,6,2.3664048,25.579435,28,3.2672958374023438
2020/03/07 12:00:00+00,0,2.4459867,29.43591,28,3.856473922729492
2020/03/08 12:00:00+00,4,2.5385172,34.055634,32,4.619724273681641
2020/03/09 12:00:00+00,3,2.6346207,39.649967,35,5.594333648681641
2020/03/10 12:00:00+00,2,2.7273238,46.47844,37,6.828472137451172
2020/03/11 12:00:00+00,5,2.8115838,54.864952,42,8.386512756347656
2020/03/12 12:00:00+00,17,2.8839936,65.202194,59,10.337242126464844
2020/03/13 12:00:00+00,20,2.942563,77.96711,79,12.764915466308594
2020/03/14 12:00:00+00,24,2.9864976,93.73961,103,15.772499084472656
2020/03/15 12:00:00+00,42,3.0159323,113.21638,145,19.476768493652344
2020/03/16 12:00:00+00,32,3.0316374,137.21416,177,23.997779846191406
2020/03/17 12:00:00+00,12,3.034724,166.70096,189,29.486801147460938
2020/03/18 12:00:00+00,25,3.026386,202.80919,214,36.10823059082031
2020/03/19 12:00:00+00,44,3.0077477,246.82684,258,44.01765441894531
2020/03/20 12:00:00+00,60,2.979788,300.19366,318,53.3668212890625
2020/03/21 12:00:00+00,59,2.9433424,364.529,377,64.3353271484375
2020/03/22 12:00:00+00,48,2.899159,441.60538,425,77.07638549804688
2020/03/23 12:00:00+00,78,2.8479648,533.26526,503,91.65988159179688
2020/03/24 12:00:00+00,85,2.790514,641.4099,588,108.1446533203125
2020/03/25 12:00:00+00,100,2.7276263,767.9587,688,126.54876708984375
2020/03/26 12:00:00+00,170,2.660185,914.82184,858,146.8631591796875
2020/03/27 12:00:00+00,135,2.5891216,1083.7354,993,168.91351318359375
2020/03/28 12:00:00+00,151,2.5153773,1276.2366,1144,192.501220703125
2020/03/29 12:00:00+00,211,2.439864,1493.6443,1355,217.40771484375
2020/03/30 12:00:00+00,351,2.363424,1736.9926,1706,243.3482666015625
2020/03/31 12:00:00+00,260,2.2868037,2006.981,1966,269.9884033203125
2020/04/01 12:00:00+00,426,2.2106338,2303.933,2392,296.9521484375
2020/04/02 12:00:00+00,401,2.1354234,2627.795,2793,323.86181640625
2020/04/03 12:00:00+00,462,2.0615766,2978.1445,3255,350.349609375
2020/04/04 12:00:00+00,375,1.9893966,3354.1982,3630,376.0537109375
2020/04/05 12:00:00+00,408,1.9191127,3754.707,4038,400.5087890625
2020/04/06 12:00:00+00,309,1.8508987,4178.1533,4347,423.4462890625
2020/04/07 12:00:00+00,379,1.7848907,4622.777,4726,444.62353515625
2020/04/08 12:00:00+00,550,1.7211993,5086.5806,5276,463.8037109375
2020/04/09 12:00:00+00,483,1.659924,5567.33,5759,480.74951171875
2020/04/10 12:00:00+00,478,1.6011527,6062.724,6237,495.39404296875
2020/04/11 12:00:00+00,411,1.54497,6570.324,6648,507.60009765625
2020/04/12 12:00:00+00,401,1.4914486,7087.583,7049,517.2587890625
2020/04/13 12:00:00+00,421,1.4406519,7612.1274,7470,524.54443359375
2020/04/14 12:00:00+00,483,1.3926282,8141.765,7953,529.6376953125
2020/04/15 12:00:00+00,494,1.347408,8674.482,8447,532.71728515625
2020/04/16 12:00:00+00,514,1.3050022,9208.445,8961,533.962890625
2020/04/17 12:00:00+00,564,1.2653956,9741.998,9525,533.552734375
2020/04/18 12:00:00+00,485,1.2285533,10273.674,10010,531.67578125
2020/04/19 12:00:00+00,568,1.1944177,10802.172,10578,528.498046875
2020/04/20 12:00:00+00,606,1.162909,11326.367,11184,524.1953125
