date,confirm
2020/2/24,0
2020/2/25,0
2020/2/26,1
2020/2/27,1
2020/2/28,2
2020/2/29,3
2020/3/1,4
2020/3/2,0
2020/3/3,5
2020/3/4,0
2020/3/5,2
2020/3/6,6
2020/3/7,0
2020/3/8,4
2020/3/9,3
2020/3/10,2
2020/3/11,5
2020/3/12,17
2020/3/13,20
2020/3/14,24
2020/3/15,42
2020/3/16,32
2020/3/17,12
2020/3/18,25
2020/3/19,44
2020/3/20,60
2020/3/21,59
2020/3/22,48
2020/3/23,78
2020/3/24,85
2020/3/25,100
2020/3/26,170
2020/3/27,135
2020/3/28,151
2020/3/29,211
2020/3/30,351
2020/3/31,260
2020/4/1,426
2020/4/2,401
2020/4/3,462
2020/4/4,375
2020/4/5,408
2020/4/6,309
2020/4/7,379
2020/4/8,550
2020/4/9,483
2020/4/10,478
2020/4/11,411
2020/4/12,401
2020/4/13,421
2020/4/14,483
2020/4/15,494
2020/4/16,514
2020/4/17,564
2020/4/18,485
2020/4/19,568
2020/4/20,606
2020/4/21,551
2020/4/22,510
2020/4/23,634
2020/4/24,640
2020/4/25,476
2020/4/26,437
2020/4/27,424
2020/4/28,525
2020/4/29,347
2020/4/30,459
2020/5/1,421
2020/5/2,511
2020/5/3,434
2020/5/4,370
2020/5/5,387
2020/5/6,412
2020/5/7,399
2020/5/8,477
2020/5/9,346
2020/5/10,294
2020/5/11,308
2020/5/12,361
2020/5/13,329
2020/5/14,258
2020/5/15,428
2020/5/16,391
2020/5/17,340
2020/5/18,304
2020/5/19,427
2020/5/20,390
2020/5/21,413
2020/5/22,441
2020/5/23,412
2020/5/24,460
2020/5/25,404
2020/5/26,287
2020/5/27,292
2020/5/28,383
2020/5/29,344
2020/5/30,323
2020/5/31,326
2020/6/1,404
2020/6/2,446
2020/6/3,338
2020/6/4,356
2020/6/5,344
2020/6/6,455
2020/6/7,415
2020/6/8,243
2020/6/9,230
2020/6/10,251
2020/6/11,203
2020/6/12,182
2020/6/13,266
2020/6/14,197
2020/6/15,181
2020/6/16,184
2020/6/17,190
2020/6/18,173
2020/6/19,178
2020/6/20,206
2020/6/21,175
2020/6/22,161
2020/6/23,216
2020/6/24,163
2020/6/25,189
2020/6/26,111
2020/6/27,160
2020/6/28,178
2020/6/29,257
2020/6/30,157
2020/7/1,0
2020/7/2,302
2020/7/3,165
2020/7/4,121
2020/7/5,138
2020/7/6,154
2020/7/7,112
2020/7/8,118
2020/7/9,170
2020/7/10,116
2020/7/11,130
2020/7/12,129
2020/7/13,116
2020/7/14,111
2020/7/15,102
2020/7/16,111
2020/7/17,111
2020/7/18,166
2020/7/19,164
2020/7/20,135
2020/7/21,203
2020/7/22,165
