t_start,t_end,Mean(R),Std(R),Quantile.0.025(R),Quantile.0.05(R),Quantile.0.25(R),Median(R),Quantile.0.75(R),Quantile.0.95(R),Quantile.0.975(R)
2,8,0,0,0,0,0,0,0,0,0
3,9,0,0,0,0,0,0,0,0,0
4,10,0,0,0,0,0,0,0,0,0
5,11,0,0,0,0,0,0,0,0,0
6,12,0,0,0,0,0,0,0,0,0
7,13,6.445997695,1.519336227,3.82030676,4.166372225,5.366837236,6.327028363,7.395639182,9.131554353,9.747296369
8,14,4.701889559,1.108245997,2.786637743,3.039067494,3.914719979,4.615110027,5.394584406,6.660809093,7.109948404
9,15,4.189812959,0.914292144,2.593560258,2.80757865,3.542378122,4.123498935,4.765039424,5.798305865,6.162691715
10,16,2.857580267,0.673538128,1.69358317,1.846997721,2.379176802,2.804839879,3.278566575,4.048116483,4.321081557
11,17,3.013091168,0.628272939,1.910041335,2.0593165,2.568968736,2.969537483,3.40978387,4.11546466,4.363514663
12,18,4.237624435,0.687433458,2.998795261,3.173747451,3.755961935,4.200510817,4.678853691,5.428116459,5.687296366
13,19,5.066977581,0.702663365,3.784261215,3.969186036,4.577021166,5.034534231,5.521582761,6.275447249,6.534021684
14,20,6.594289505,0.756416883,5.195550105,5.401338526,6.069568029,6.565389842,7.087516494,7.885826472,8.157235851
15,21,8.866745045,0.83044676,7.313971265,7.546407284,8.293389756,8.84083241,9.411858131,10.27547708,10.56676181
16,22,9.88431616,0.826568041,8.330700392,8.565147764,9.314962348,9.861285369,10.42856763,11.28204744,11.56880242
17,23,9.171142547,0.74144293,7.775520948,7.986593763,8.660756475,9.151169601,9.659758933,10.42382309,10.68025935
18,24,8.673164309,0.659408472,7.428866837,7.617774402,8.219763231,8.656458746,9.108356687,9.785540051,10.01239117
19,25,8.094385148,0.572359463,7.011392139,7.176501583,7.701335363,8.08089851,8.47273452,9.058273998,9.254016753
20,26,7.676794639,0.495534963,6.736205871,6.880297937,7.337005049,7.666135061,8.004965078,8.509652875,8.677957717
21,27,6.923456424,0.417500131,6.129271557,6.251337853,6.637470235,6.915066167,7.200296952,7.624195434,7.76532024
22,28,5.609266182,0.334620766,4.972528196,5.070443986,5.380088208,5.602613653,5.831192662,6.17078115,6.283808237
23,29,5.23893472,0.289713752,4.686429654,4.771678589,5.040724303,5.233595287,5.431324897,5.724404412,5.821782173
24,30,5.214788218,0.260739411,4.716206183,4.793448636,5.036633932,5.210443205,5.388206166,5.650949207,5.738061819
25,31,5.113941563,0.234643731,4.664328897,4.734203923,4.953781608,5.11035328,5.270190027,5.505919281,5.583945601
26,32,5.418784369,0.221036825,4.99416215,5.060408726,5.268104477,5.415779239,5.566188416,5.78741086,5.860484135
27,33,5.160699425,0.198488439,4.778949667,4.838612392,5.025470149,5.158154924,5.293154968,5.491466036,5.556909098
28,34,4.997622021,0.180336151,4.650372878,4.704740764,4.874833758,4.995453082,5.118045937,5.297901769,5.357196864
29,35,5.176285912,0.169645919,4.849083037,4.90043967,5.060873745,5.174432723,5.289677919,5.458453577,5.514020163
30,36,5.719288973,0.164827168,5.400756132,5.450899727,5.607268524,5.717705637,5.829583418,5.993079137,6.046819683
