date,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
2020-02-26,gp_rt,1,1.1855,1.1259323300296082,0,0,1,1,2,3
2020-02-27,gp_rt,1,1.3885,1.2527379718892162,0,0,1,1,2,4
2020-02-28,gp_rt,1,1.3765,1.269075658309329,0,0,1,1,2,4
2020-02-29,gp_rt,1,1.357,1.2236419614515157,0,0,1,1,2,4
2020-03-01,gp_rt,1,1.4725,1.29502211994451,0,1,1,2,2,4
2020-03-02,gp_rt,1,1.658,1.3627048404702762,0,1,1,2,2,4
2020-03-03,gp_rt,2,1.9945,1.5118242478139245,0,1,1,2,3,5
2020-03-04,gp_rt,2,2.415,1.6962351272165666,0,1,2,3,3,5.0499999999999545
2020-03-05,gp_rt,3,3.4175,1.959620832432502,1,2,3,4,5,7
2020-03-06,gp_rt,4,3.8045,2.1928711982344113,1,2,3,4,5,8
2020-03-07,gp_rt,4,4.657,2.432140755451288,1,3,4,5,6,9
2020-03-08,gp_rt,5,5.692,2.7140042206037056,2,4,5,6,7,10
2020-03-09,gp_rt,6,6.624,2.9580397224343944,2,4,6,7,8,12
2020-03-10,gp_rt,8,7.8535,3.27954500773032,3,6,7,8,10,14
2020-03-11,gp_rt,9,9.5475,3.7139790751006045,4,7,8,10,12,16
2020-03-12,gp_rt,13,12.802,4.469987292285807,6,10,11,14,16,21
2020-03-13,gp_rt,15,14.917,4.929022076367143,7,11,13,16,18,24
2020-03-14,gp_rt,17,17.694,5.770269664929275,9,14,16,19,21,28
2020-03-15,gp_rt,20,20.947,6.374363282213119,12,16,19,22,25,32
2020-03-16,gp_rt,24,24.4895,7.088724480284072,14,19,22,26,29,36
2020-03-17,gp_rt,28,28.8165,8.07672238424945,17,23,26,30,34,42
2020-03-18,gp_rt,33,33.7125,9.13206115948148,20,27,31,35,40,50
2020-03-19,gp_rt,45,45.531,11.783355325685706,28,37,42,48,52.25,66
2020-03-20,gp_rt,52,52.8525,13.113684764933806,33,44,49,55,61,76.04999999999995
2020-03-21,gp_rt,60,61.495,14.880110343741439,39,51,57,64,71,88.04999999999995
2020-03-22,gp_rt,72,72.95,17.130680958883612,47,61,68,76,83,103
2020-03-23,gp_rt,81,83.161,19.718810682882822,54.949999999999974,69,77,86,95,118
2020-03-24,gp_rt,95,96.518,22.365593797012107,63,81,89,100.39999999999986,110,135
2020-03-25,gp_rt,113,114.3825,25.969297178552484,75,96,106,119,130,161
2020-03-26,gp_rt,149.5,152.4185,33.17302492298932,104,128,141,158,173,212
2020-03-27,gp_rt,167,169.464,36.79299615800732,114,143,158,176,193,234
2020-03-28,gp_rt,191,193.7945,42.46537323175031,128,163,181,203,221,265
2020-03-29,gp_rt,217,220.723,47.753067427384835,150,187,205,230,249,306
2020-03-30,gp_rt,240,243.225,50.71720114760004,165,208,228,253,274,332.04999999999995
2020-03-31,gp_rt,264,267.7075,54.59810821319938,182,230,251,279,303,359
2020-04-01,gp_rt,288.5,292.1725,60.066519269211526,197.95,252,275,304,329,396.04999999999995
2020-04-02,gp_rt,361,366.381,76.48918313440329,251.95,310,342,381,414.25,500
2020-04-03,gp_rt,373,378.2085,78.97484752135017,257,322.75,353,394,428.25,519.05
2020-04-04,gp_rt,388,395.4805,85.2403518208323,270,335,368.6,410,447,547.05
2020-04-05,gp_rt,408,414.862,86.90783878466378,288,353,387,431,471,562
2020-04-06,gp_rt,415,421.4335,86.28795618996733,291,359,391,439,480,569.05
2020-04-07,gp_rt,424,428.457,85.55819220347378,299,369,402,444,481,577
2020-04-08,gp_rt,432,436.858,91.30621692209306,299,374,411,454,493,597.05
2020-04-09,gp_rt,501,510.296,103.63790711846679,359,437.75,475,526,573,693.05
2020-04-10,gp_rt,489,493.8965,102.37970301551364,339,420,461,512,556,678
